SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
11,11.92,111.87,88.29,17.07,4.63
10,15.67,168.35,88.00,24.00,0.00
26,28.95,754.22,65.00,15.00,20.00
22,23.75,497.80,72.00,14.00,14.00
19,19.89,397.80,63.00,12.00,25.00
16,27.48,745.34,80.00,30.00,10.00
13,19.74,324.01,85.00,25.00,5.00
12,12.75,244.32,68.00,10.00,20.00
11,25.00,687.55,75.00,30.00,15.00
10,14.45,134.21,85.00,20.00,5.00
9,16.82,151.30,90.00,18.00,0.00
10,10.07,101.40,88.29,17.07,4.63
12,18.03,325.08,64.00,0.00,0.00
11,10.61,112.57,88.00,24.00,0.00
15,12.46,155.25,70.37,25.93,3.70
9,22.17,444.34,17.09,99.18,22.35
18,27.50,694.44,33.33,44.44,22.22
22,12.84,162.51,79.67,21.79,5.13
21,19.62,384.94,17.31,299.56,66.49
25,26.27,690.11,57.14,38.78,4.08
30,27.59,761.21,59.62,30.77,9.62
29,19.24,370.18,78.42,5.26,19.32
34,26.91,724.15,53.33,28.89,15.56
33,28.93,836.94,60.38,32.08,3.77
37,30.79,948.02,49.06,37.17,13.77
35,36.28,1316.24,81.48,11.11,7.41
39,34.86,1215.22,13.33,177.78,50.00
40,37.56,1410.75,26.19,685.94,72.41
15,32.73,491.88,75.00,20.00,5.00
16,26.87,429.92,71.88,18.75,9.38
17,22.42,381.88,80.00,25.00,5.00
18,29.79,535.91,73.68,15.79,10.53
19,26.51,503.41,81.82,18.18,0.00
20,32.25,644.99,75.00,20.00,5.00
21,28.84,605.92,85.71,14.29,0.00
22,25.03,550.55,70.59,29.41,0.00
23,31.22,717.48,60.00,30.00,10.00
24,33.72,809.29,69.23,23.08,7.69
25,34.49,862.25,60.00,30.00,10.00
26,36.88,959.35,58.82,35.29,5.88
27,32.98,890.11,68.18,22.73,9.09
28,34.76,972.23,66.67,33.33,0.00
29,37.06,1075.88,75.00,25.00,0.00
30,38.54,1156.04,80.00,20.00,0.00
31,39.71,1232.67,76.92,23.08,0.00
32,40.88,1310.08,78.95,21.05,0.00
33,42.05,1386.71,81.82,18.18,0.00
34,43.22,1464.12,85.71,14.29,0.00
35,44.39,1541.75,88.89,11.11,0.00
36,45.56,1619.16,81.82,18.18,0.00
37,46.73,1696.79,90.00,10.00,0.00
38,47.90,1774.20,92.31,7.69,0.00
39,49.07,1851.83,94.74,5.26,0.00
40,50.24,1929.24,97.06,2.94,0.00
41,51.41,2006.87,100.00,0.00,0.00
42,52.58,2084.28,100.00,0.00,0.00
43,53.75,2161.91,100.00,0.00,0.00
44,54.92,2239.32,100.00,0.00,0.00
45,56.09,2316.95,100.00,0.00,0.00
46,57.26,2394.36,100.00,0.00,0.00
47,58.43,2471.99,100.00,0.00,0.00
48,59.60,2549.40,100.00,0.00,0.00
49,60.77,2626.03,100.00,0.00,0.00
50,61.94,2703.44,100.00,0.00,0.00
40,37.56,1410.75,26.19,685.94,72.41
41,38.73,1488.16,28.57,671.43,68.57
42,39.90,1565.79,30.77,657.14,64.71
43,41.07,1643.20,32.00,642.86,60.87
44,42.24,1720.83,33.33,628.57,57.14
45,43.41,1798.24,34.62,614.29,53.33
46,44.58,1875.87,35.90,600.00,49.66
47,45.75,1953.28,37.14,585.71,46.15
48,46.92,2030.91,38.33,571.43,42.86
49,48.09,2108.32,39.49,557.14,39.68
50,49.26,2185.95,40.62,542.86,36.71
51,50.43,2263.36,41.73,528.57,33.94
52,51.60,2341.00,42.82,514.29,31.37
53,52.77,2418.41,43.90,500.00,29.00
54,53.94,2496.04,44.96,485.71,26.81
55,55.11,2573.45,46.00,471.43,24.79
56,56.28,2651.08,47.02,457.14,22.94
57,57.45,2728.49,48.03,442.86,21.25
58,58.62,2806.12,49.02,428.57,19.71
59,59.79,2883.53,50.00,414.29,18.31
60,60.96,2961.16,50.96,400.00,17.03
41,39.20,1527.42,45.33,31.33,23.33
38,31.45,1201.91,58.22,28.57,13.21
36,35.81,1297.24,78.95,10.53,10.53
35,23.80,535.92,70.83,6.25,20.83
33,32.07,1059.38,65.52,17.24,13.79
30,26.91,804.97,53.33,28.89,15.56
28,27.14,758.12,60.00,30.00,6.67
27,20.12,417.14,61.54,25.64,12.82
26,14.21,189.44,64.29,10.71,17.86
25,25.80,667.20,57.14,38.78,4.08
24,22.60,542.44,63.04,32.61,4.35
22,14.95,231.75,64.00,26.00,10.00
20,21.44,406.96,70.00,16.67,22.22
18,18.67,324.03,83.89,30.56,5.56
16,12.90,156.70,70.37,25.93,3.70
15,24.31,590.98,70.83,6.25,20.83
14,18.12,325.08,64.00,0.00,0.00
13,10.34,104.52,88.29,17.07,4.63
12,15.33,247.62,85.00,20.00,5.00
11,26.08,717.65,75.00,30.00,15.00
10,11.52,123.72,85.00,20.00,5.00
